Patient,Threshold,Acc,Sens,Spec,F1,F1w
,,,,,,
chb01,0.9,0.986700487,0.97826087,0.986727185,0.316901408,0.991151903
chb02,0.9,0.996323529,1,0.996240602,0.923076923,0.99646147
chb03,0.88,0.982128674,0.953488372,0.982626263,0.645669291,0.984938785
chb04,0.9,0.979144943,0.974358974,0.979194101,0.487179487,0.984250492
chb05,0.88,0.997776543,0.982758621,0.998276852,0.966101695,0.997794746
chb06,0.9,0.92972103,0.944444444,0.929692539,0.04934688,0.961746228
chb07,0.85,0.985551798,0.941176471,0.986020503,0.576576577,0.988301749
chb08,0.9,0.969431708,0.904255319,0.970294242,0.435897436,0.977127646
chb09,0.9,0.993623188,1,0.993569132,0.725,0.994489715
chb10,0.9,0.976412289,0.978723404,0.976390556,0.436018957,0.982812332
chb11,0.9,0.998402045,0.987654321,0.998472055,0.888888889,0.998481364
chb12,0.9,0.927498827,0.84375,0.929100909,0.304054054,0.949411985
chb13,0.9,0.980456575,0.912280702,0.980785509,0.30952381,0.986820203
chb14,0.9,0.957019138,0.9,0.957141326,0.082191781,0.976078766
chb15,0.9,0.99047619,0.956097561,0.991933816,0.890909091,0.990786047
chb16,0.9,0.964594001,1,0.964531731,0.090225564,0.980380122
chb17,0.9,0.967712055,0.966666667,0.967716222,0.19205298,0.980384854
chb18,0.9,0.95952616,0.911764706,0.960341365,0.430555556,0.969813203
chb19,0.9,0.977336058,0.88,0.977562611,0.152777778,0.986573719
chb20,0.9,0.977533699,0.96875,0.977676306,0.579439252,0.981924072
chb21,0.9,0.991024555,0.952380952,0.991093392,0.273972603,0.994201407
chb22,0.64,0.99982066,0.904761905,1,0.95,0.999816185
chb23,0.9,0.997175732,0.977272727,0.981084489,0.322097378,0.987323539
chb24,0.9,0.979637123,0.929824561,0.981457128,0.336134454,0.984663913
,,0.977709459,0.947861274,0.977413701,,
